Code,Country or region,Local authority,Number of meters (thousands): Domestic Standard,Number of meters (thousands): Domestic E7,Number of meters (thousands): All Domestic,Number of meters (thousands): All Non-Domestic,Number of meters (thousands): All meters,Total consumption (GWh): Domestic Standard,Total consumption (GWh): Domestic E7,Total consumption (GWh): All Domestic,Total consumption (GWh): All Non-Domestic,Total consumption  (GWh): All meters
W06000016,Wales,Rhondda Cynon Taf / Rhondda Cynon Taf,108.2,1.6,109.8,6.8,116.6,289.1,8.3,297.4,365.5,662.9
W06000018,Wales,Caerphilly / Caerffili,78.5,1.1,79.5,4.9,84.4,215.4,5.3,220.7,344,564.7
W06000019,Wales,Blaenau Gwent / Blaenau Gwent,32.1,0.4,32.5,2.2,34.7,83.3,1.7,84.9,141.9,226.9
W06000020,Wales,Torfaen / Torfaen,41.6,0.8,42.4,2.7,45.1,110.7,3.6,114.3,248,362.3
W06000021,Wales,Monmouthshire / Sir Fynwy,40.3,3.1,43.4,4.4,47.8,128.5,17.8,146.3,211.8,358.1
W06000022,Wales,Newport / Casnewydd,67.4,2.4,69.9,4.6,74.5,190.3,11.7,202,628.7,830.7
W06000023,Wales,Powys / Powys,55.7,7.2,62.9,10.9,73.8,182,44.2,226.2,302.1,528.3
W06000024,Wales,Merthyr Tydfil / Merthyr Tudful,26.7,0.3,26.9,1.6,28.6,71.3,1.4,72.6,106.2,178.9
S12000005,Scotland,Clackmannanshire,24,1.6,25.6,1.3,26.9,66.5,6.6,73.1,196.9,270
S12000006,Scotland,Dumfries and Galloway,65.3,12.5,77.8,9.8,87.7,208.3,60.6,268.9,459.5,728.3
S12000008,Scotland,East Ayrshire,56.7,2,58.7,4.1,62.8,153.2,9,162.2,223.2,385.4
S12000010,Scotland,East Lothian,48.4,5.1,53.6,3.6,57.2,144.9,26.1,170.9,273.9,444.8
S12000011,Scotland,East Renfrewshire,38.2,3.2,41.4,1.8,43.2,120.8,15.1,135.8,68.6,204.4
S12000013,Scotland,Na h-Eileanan Siar,14.1,3.9,18,2,20,54.5,23.7,78.2,63.1,141.3
S12000014,Scotland,Falkirk,72,6.7,78.7,4.5,83.1,199.5,27.9,227.4,362.1,589.5
S12000017,Scotland,Highland,111.4,29.7,141.1,16.1,157.2,390.1,185.6,575.6,894.8,"1,470.50"
S12000018,Scotland,Inverclyde,35.3,4.7,40,2.4,42.4,91.6,16.1,107.7,160.6,268.3
S12000019,Scotland,Midlothian,41.9,1.7,43.7,2.6,46.3,117.9,8.2,126.1,207,333.2
S12000020,Scotland,Moray,43.2,4.9,48.1,4.5,52.6,133.4,27.4,160.8,288.5,449.3
S12000021,Scotland,North Ayrshire,64.9,6.8,71.7,4.7,76.4,173.3,32,205.3,362.9,568.2
S12000023,Scotland,Orkney Islands,8.8,5.6,14.4,2.2,16.6,38.2,37.9,76.1,56.7,132.8
S12000026,Scotland,Scottish Borders,52.4,10,62.3,7.3,69.7,166.1,45,211,280.2,491.3
S12000027,Scotland,Shetland Islands,9.1,7.7,16.8,1.8,18.7,36.7,52.5,89.2,81.3,170.5
S12000028,Scotland,South Ayrshire,53.3,4.3,57.6,4.8,62.4,149.5,18.9,168.4,252.1,420.6
S12000029,Scotland,South Lanarkshire,143.1,16.9,160,9.8,169.7,418.1,75.2,493.4,517.3,"1,010.60"
S12000030,Scotland,Stirling,39.2,4.9,44.2,4.4,48.6,126.8,29.6,156.4,291.2,447.6
S12000033,Scotland,Aberdeen City,113.8,11.1,124.8,9.2,134,289.5,45.7,335.2,602.9,938
S12000034,Scotland,Aberdeenshire,112.9,13.4,126.3,12.9,139.2,393.2,86.2,479.4,633.8,"1,113.20"
S12000035,Scotland,Argyll and Bute,43.3,13.4,56.7,6.8,63.5,150.4,82.2,232.6,233.9,466.5
S12000036,Scotland,City of Edinburgh,238.9,29.1,268.1,19.4,287.5,626.4,120.9,747.2,"1,274.30","2,021.50"
S12000038,Scotland,Renfrewshire,83.5,8.3,91.9,5.2,97,218.5,27.8,246.3,414.9,661.2
S12000039,Scotland,West Dunbartonshire,42.5,3.7,46.2,2.9,49,105,12.2,117.2,198.4,315.7
S12000040,Scotland,West Lothian,80.7,4,84.7,5.4,90.1,232.2,17.1,249.3,444.5,693.8
S12000041,Scotland,Angus,53.2,7.2,60.5,5.3,65.8,163.1,38.2,201.3,274.9,476.3
S12000042,Scotland,Dundee City,70.6,10.1,80.7,5.3,86,193.3,45.4,238.7,297,535.7
S12000045,Scotland,East Dunbartonshire,45.8,2.9,48.8,2.4,51.2,140,12.7,152.7,142.6,295.3
S12000047,Scotland,Fife,172.6,12.3,184.9,12.4,197.3,476,53.7,529.7,813,"1,342.70"
S12000048,Scotland,Perth and Kinross,69.5,11.6,81.1,8.4,89.5,229.7,70.2,299.9,409.9,709.9
S12000049,Scotland,Glasgow City,277.3,44.9,322.2,23.2,345.4,665,158.9,823.9,"1,578.50","2,402.40"
S12000050,Scotland,North Lanarkshire,147.8,12.7,160.5,8.8,169.3,401.4,50.9,452.3,732,"1,184.30"
